timestamp,disk_r_s,disk_w_s,disk_rkB_s,disk_wkB_s,disk_r_await_ms,disk_w_await_ms,disk_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_free_mb,gpu_util_pct
2026-05-02T22:38:38,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:39,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:40,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:41,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:42,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:43,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:44,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:46,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:47,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:48,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:49,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:50,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:51,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:52,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:53,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:54,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:55,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:56,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:57,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:38:59,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:00,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:01,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:02,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:03,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:04,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:05,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:06,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:07,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:08,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:09,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:10,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:12,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:13,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:14,,,,,,,,1.0,46068.0,45488.0,0.0
2026-05-02T22:39:15,,,,,,,,1.0,46068.0,45488.0,0.0
