timestamp,disk_r_s,disk_w_s,disk_rkB_s,disk_wkB_s,disk_r_await_ms,disk_w_await_ms,disk_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_free_mb,gpu_util_pct,dcgmi_power_w,dcgmi_gpu_util_pct,dcgmi_nvlink_tx_mbs,dcgmi_nvlink_rx_mbs,dcgmi_pcie_tx_mbs,dcgmi_pcie_rx_mbs
2026-05-02T01:23:58,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.4,0.0,0.0,2608343.6
2026-05-02T01:23:59,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.9,0.0,0.0,3214326.0
2026-05-02T01:24:01,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.6,0.0,0.0,3220419.4
2026-05-02T01:24:02,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.8,0.0,0.0,3636700.0
2026-05-02T01:24:03,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.6,0.0,0.0,3151299.4
2026-05-02T01:24:05,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.5,0.0,0.0,3717581.2
2026-05-02T01:24:06,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.7,0.0,0.0,4770888.0
2026-05-02T01:24:07,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.5,0.0,0.0,3323139.0
2026-05-02T01:24:09,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.5,0.0,0.0,4789766.4
2026-05-02T01:24:10,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.9,0.0,0.0,3433787.8
2026-05-02T01:24:12,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.5,0.0,0.0,3184050.0
2026-05-02T01:24:13,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.5,0.0,0.0,5135431.6
2026-05-02T01:24:14,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,27.0,0.0,0.0,3192700.6
2026-05-02T01:24:16,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.5,0.0,0.0,3247082.4
2026-05-02T01:24:17,,,,,,,,4.0,46068.0,45485.0,0.0,0.0,1.2,26.5,0.0,0.0,3375222.6
2026-05-02T01:24:18,,,,,,,,352.0,46068.0,45137.0,6.0,0.0,1.2,30.3,0.0,0.0,3451906.0
2026-05-02T01:24:20,,,,,,,,3795.0,46068.0,41694.0,4.0,7.0,1.2,40.7,0.1,0.1,26581451.6
2026-05-02T01:24:21,,,,,,,,3803.0,46068.0,41686.0,78.0,13.0,1.2,66.3,0.0,0.0,6440659.0
2026-05-02T01:24:23,,,,,,,,3803.0,46068.0,41686.0,76.0,12.4,1.2,67.7,0.1,0.1,26098029.4
2026-05-02T01:24:24,,,,,,,,3803.0,46068.0,41686.0,42.0,7.0,1.2,68.2,0.1,0.1,16261421.4
